feedback_id,customer_id,feedback_date,channel,feedback_text
FB001,CUST_87236,2024-11-18,email,"Got my Apple iPad Pro from Global Shop. It's fine. The Dallas delivery was a day late but Sarah apologized. Product works as described. Not amazing, not terrible - just average."
FB002,CUST_23396,2024-11-12,survey,Five stars for Global Shop! My Kindle Paperwhite arrived in perfect condition at my home in Houston. Emma from support helped me track my order and was so professional. This is the best online shopping experience I've had in years.
FB003,CUST_70217,2024-11-13,survey,Very disappointed with my Instant Pot Duo order from QuickMart. It arrived damaged after 5 days of waiting. The Seattle warehouse seems to have serious problems. Spoke with David but still no resolution. Considering returning everything.
FB004,CUST_19116,2024-11-11,chat,"Amazing experience with MegaDeals! The LG 55-inch OLED TV exceeded all my expectations. When I had a minor issue, customer support agent Robert went above and beyond to help me. The item arrived in San Diego in perfect condition. Will definitely order again!"
FB005,CUST_69429,2024-11-21,email,Worst experience ever with ValueStore. The Dyson V15 vacuum was defective right out of the box. Called support multiple times and spoke with Michael who was completely unhelpful. I want a full refund immediately.
FB006,CUST_80010,2024-11-17,email,Do NOT order from MegaDeals! My Instant Pot Duo never arrived after 7 days. Customer service in Phoenix couldn't explain what happened. Emma promised a callback that never came. Total waste of money.
FB007,CUST_40021,2024-11-11,survey,Mixed feelings about my QuickMart purchase. The Kindle Paperwhite quality is good but the delivery took longer than expected to reach Philadelphia. Sarah was helpful when I inquired about the delay.
FB008,CUST_95909,2024-11-25,survey,Mixed feelings about my QuickMart purchase. The Dyson V15 vacuum quality is good but the delivery took longer than expected to reach Seattle. Michael was helpful when I inquired about the delay.
FB009,CUST_44438,2024-11-23,chat,Wonderful experience ordering the Sony WH-1000XM5 headphones. MegaDeals has the best customer service - Sofia was patient and knowledgeable. Arrived in Philadelphia well-packaged. Will be a repeat customer!
FB010,CUST_16175,2024-11-13,email,"Terrible. The Instant Pot Duo I ordered on November 09, 2024 arrived broken. ValueStore has the worst shipping I've ever seen. Sofia said they'd send a replacement but it's been weeks. Avoid this company!"
FB011,CUST_71348,2024-11-18,chat,Average experience with ValueStore. The Kindle Paperwhite does what it's supposed to do. Delivery to Dallas was on time. Had one interaction with James - nothing memorable either way.
FB012,CUST_24621,2024-11-19,survey,"Save yourself the headache and shop elsewhere. QuickMart sent me a used Samsung Galaxy S24 as new! When I complained, James was rude and dismissive. The return process to Denver warehouse is a nightmare."
FB013,CUST_23947,2024-11-19,chat,Five stars for Global Shop! My Bose QuietComfort earbuds arrived in perfect condition at my home in Denver. Emma from support helped me track my order and was so professional. This is the best online shopping experience I've had in years.
FB014,CUST_79514,2024-11-10,chat,"I'm furious with Global Shop. Ordered a KitchenAid Stand Mixer and received the wrong item entirely. When I called, Sofia put me on hold for 45 minutes. Still waiting for this mess to be sorted out. Never again."
FB015,CUST_17592,2024-11-17,chat,Just received my Bose QuietComfort earbuds and I couldn't be happier! QuickMart delivered to San Diego ahead of schedule. Special thanks to James who helped me choose the right model. Excellent service all around!
FB016,CUST_26828,2024-11-25,chat,Order arrived as expected from MegaDeals. The Nike Air Max 90 is okay - nothing special but it works. Standard shipping to Phoenix took the usual time. Daniel answered my question adequately.
FB017,CUST_36365,2024-11-19,survey,Five stars for Global Shop! My Dyson V15 vacuum arrived in perfect condition at my home in Dallas. Robert from support helped me track my order and was so professional. This is the best online shopping experience I've had in years.
FB018,CUST_39451,2024-11-12,survey,"Absolutely unacceptable service from Acme Retail. My Instant Pot Duo was supposed to arrive in Austin by November 16, 2024 but it's still missing. Sarah blamed the shipping carrier but that's not my problem. Disputing the charge."
FB019,CUST_19305,2024-11-11,email,"I ordered the KitchenAid Stand Mixer on November 19, 2024 and it arrived two days earlier than expected! The packaging was excellent and the product works perfectly. Michael in customer service was incredibly helpful when I had a question about setup. Shipping to Seattle was lightning fast. Highly recommend Global Shop!"
FB020,CUST_46500,2024-11-25,email,"Amazing experience with MegaDeals! The Samsung Galaxy S24 exceeded all my expectations. When I had a minor issue, customer support agent David went above and beyond to help me. The item arrived in Phoenix in perfect condition. Will definitely order again!"
